Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
,,,,Deal,Free,Deal,Free,,,,,,,,
1296,  BABY CARE COLLECTION,PCS,2,0,0,0,0,329.6,400,290.97,400,JOHNSON & JOHSONS,,,8901012191248
9620, 500G KHIR CHAWAL,PCS,-1,0,0,0,0,0,50,0,50,MANYATA,,,VM28061
1294, BABY CARE COLLECTION,PCS,3,0,0,0,0,189.53,230,167.31,210,JOHNSON & JOHSONS,,,8901012191262
1315, BABY POWDER 100G,PCS,4,0,0,0,0,67.26,83,60.64,83,JOHNSON & JOHSONS,,,8901012116562
1314, BABY POWDER 200G,PCS,3,0,0,0,0,121.55,150,109.58,150,JOHNSON & JOHSONS,,,8901012116579
4680, GOOD DAY 5,PCS,-166,0,0,0,0,0,5,0,5,BRITANNIA,,,8901063092334
10733, LIA CYCLE U SPIRIT,PCS,1,0,0,0,0,16.66,20,15.87,20,CLASSIC,,,8901751013221
9793,24 KARET 5KG,PCS,-10,0,0,0,0,0,225,208.75,225,-BLANK-,,,VT31813
10441,24 KARET RICE 1 K.G,PCS,-44,0,0,0,0,0,46,41.75,46,-BLANK-,,,VA3977
2912,24 KERAT RICE 2KG,PCS,-18,0,0,0,0,0,90,84,92,DEEPAK,,,24K01111
9807,24K RICE 25 KG,PCS,-17,0,0,0,0,0,1075,1050,1090,LAKME,,,VC59800
10584,AARAROT 100G,PCS,-1,0,0,0,0,0,6,3,6,-BLANK-,,,VE53087
9392,AASHIRVAAD SALT 1K.G,PCS,2,0,0,0,0,19.6,24,19.6,24,ITC,,,8901725123123
2602,AASHIRWAD AATA  10 KG,PCS,-38,0,0,0,0,371.7,437,354,437,ITC,,,8901725121112
2603,AASHIRWAD AATA  5 KG,PCS,19,0,0,0,0,192.33,228,183.17,228,ITC,,,8901725121129
10316,AB CLOTH BRUSH,PCS,-9,0,0,0,0,0,35,21.19,35,MULTI PURPOSE BRUSHES,,,AB01
1022,ACT CHILLI SURPRISE,PCS,-2,0,0,0,0,9.01,10,8.04,10,ACT II,,,8901512540409
1021,ACT GOLDEN SIZZLE,PCS,2,0,0,0,0,9.01,10,8.04,10,ACT II,,,8901512540201
1020,ACTII MAGIC BUTTER,PCS,-1,0,0,0,0,9.01,10,8.04,10,ACT II,,,8901512540805
9445,ACTIVE WHEEL - 500G,PCS,53,0,0,0,0,32.26,37,27.34,37,HUL,,,8901030641640
9441,ACTIVE WHEEL 1K.G,PCS,58,0,0,0,0,62.54,73,53,73,HUL,,,8901030641626
6110,ACTIVE WHEEL 2KG,PCS,50,0,0,0,0,122.77,136,104.04,136,HINDUSTAN UNILEVER,,,8901030840180
11084,ADIGO BUZZ DEO 165ML,PCS,1,0,0,0,0,82.93,120,70.28,120,STANVAC PRIME PVT LTD,,,8904251657124
9079,AER POCKET (FLORAL DELIGHT),PCS,5,0,0,0,0,48.5,55,42.37,60,GODREJ,,,8901023025082
7003,AER POWER POCKET,PCS,-6,0,0,0,0,50,55,42.37,55,GODREJ,,,
10220,AGARWAL PAPAD 200GM,PCS,70,0,0,0,0,29.5,45,29.5,45,BIKANER LAGHU UDHYOG,,,AP250
10908,AJANTA BAKING POWDER 100G,PCS,-1,0,0,0,0,0,26,15,26,-BLANK-,,,
10426,AJANTA CHOCLATE POWDER,PCS,-1,0,0,0,0,0,60,0,60,-BLANK-,,,VJ5810
10912,AJANTA ORANGE RED FOOD COLOUR,PCS,3,0,0,0,0,28,44,28,44,-BLANK-,,,
10138,AJAY COMPLETE JUNIOR,PCS,14,0,0,0,0,10.56,20,8.95,20,AJAY,,,8908003630205
1384,AJAY COMPLETE PREMIUM TOOTHBRUSH MEDIUM,PCS,144,0,0,0,0,9.17,20,7.77,20,AJAY,,,8908003630069
10141,AJAY PRIME TOOTH BRUSH 30,PCS,27,0,0,0,0,15.55,30,13.18,30,AJAY,,,8908003630366
3572,AJAY QUEST PREMIUM TOOTH BRUSH,PCS,17,0,0,0,0,14.71,22,12.47,22,AJAY,,,8908003630021
10140,AJAY SAVING BRUSH QUEST,PCS,11,0,0,0,0,36.81,55,31.19,55,AJAY,,,8908003630137
1392,AJAY SENSITIVE+ 40,PCS,64,0,0,0,0,23.43,40,19.86,40,AJAY,,,8908003630083
10139,AJAY SENSITIVE+ B2G1,PCS,22,0,0,0,0,55,80,46.61,80,AJAY,,,8908003630168
9737,AJINAMOTO,PCS,-3,0,0,0,0,0,60,50,100,EVEREST,,,VJ53033
9494,AJMAYIN,PCS,-1,0,0,0,0,0,21,0,21,PATANJALI,,,
9266,AJWAIN 100GM,PCS,-32,0,0,0,0,0,21,15,22,P&M,,,A10059
10195,AJWAIN 200G,PCS,-11,0,0,0,0,0,40,30,40,GOKUL,,,VS4597
10674,AJWAIN 250G,PCS,-3,0,0,0,0,0,50,44,55,-BLANK-,,,VK57605
10576,AJWAIN 500G,PCS,-2,0,0,0,0,0,95,75,95,-BLANK-,,,VR754
8714,AJWAIN 50GM,PCS,-13,0,0,0,0,0,11,7.5,15,P&M,,,AJWAIN
10631,ALCO AMCHOOR POWDER,PCS,-3,0,0,0,0,0,35,0,35,ALCO FOODS PVT LTD,,,8906118087891
10385,ALCO CHAT MASALA 50G,PCS,-4,0,0,0,0,0,27.2,17.13,27.2,ALCO FOODS PVT LTD,,,8906118081431
10641,ALCO CHICKEN MASALA,PCS,-2,0,0,0,0,0,59.8,0,59.8,ALCO FOODS PVT LTD,,,8906118080243
10540,ALCO COORINDER 500G,PCS,-2,0,0,0,0,0,117.5,71.46,117.5,ALCO FOODS PVT LTD,,,8906118080496
10758,ALCO CORIANDER POWDER 500G,PCS,-2,0,0,0,0,0,117.5,75.03,117.5,ALCO FOODS PVT LTD,,,8906118080496
10640,ALCO GARAM MASALA 50G,PCS,-7,0,0,0,0,0,37.9,0,37.9,ALCO FOODS PVT LTD,,,8906118080205
10384,ALCO JALJEERA MASALA 50G,PCS,-1,0,0,0,0,0,25,15.69,25,ALCO FOODS PVT LTD,,,8906118080830
10591,ALCO MEAT MASALA 100G,PCS,-5,0,0,0,0,0,59.8,39.55,59.8,ALCO FOODS PVT LTD,,,8906118080274
11002,ALCO MEAT MASALA 50G,PCS,-2,0,0,0,0,0,31.9,21.1,31.9,ALCO FOODS PVT LTD,,,8906118080267
10479,ALCO MUTTON CURRY GRAVY 50G,PCS,-6,0,0,0,0,0,50,33.7,50,ALCO FOODS PVT LTD,,,8906118085422
10916,ALCO RED CHILI POWDER 500G,PCS,-1,0,0,0,0,0,177.5,113.35,177.5,ALCO FOODS PVT LTD,,,8906118080489
10760,ALCO TURMERIC POWDER 500G,PCS,-6,0,0,0,0,0,117.5,75.03,117.5,ALCO FOODS PVT LTD,,,8906118080472
10440,ALCO VEGETABLE MASALA 100G,PCS,-10,0,0,0,0,0,45.8,0,45.8,ALCO FOODS PVT LTD,,,8906118080434
10606,ALL OUT COIL 10+4,PCS,37,0,0,0,0,23.94,35,20.29,35,APEX HEALTH CARE PRODUCTS,,,8906006431874
